restaurant_name,inspection_type,inspection_date,inspection_score,zip_code,street_address,inspection_month,inspection_year
FRESHII,Routine,10/31/2018,96,75219,2414 VICTORY PARK LN,Oct 2018,FY2019
MICKLE CHICKEN,Routine,10/30/2019,100,75237,3203 W CAMP WISDOM RD,Oct 2019,FY2020
WORLD TRADE CENTER MARKET,Routine,11/03/2016,100,75207,2050 N STEMMONS FRWY,Nov 2016,FY2017
DUNKIN DONUTS,Routine,10/30/2019,99,75235,8008 HERB KELLEHER WAY STE# C2174,Oct 2019,FY2020
CANVAS HOTEL - 6TH FLOOR,Routine,06/11/2018,100,75215,1325 S LAMAR ST,Jun 2018,FY2018
ARLINGTON PARK,Routine,04/24/2019,100,75235,5606 WAYSIDE DR,Apr 2019,FY2019
AMPHITHEATRE BLDG #L1,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
A+ ACADEMY,Routine,10/30/2019,97,75217,10327 RYLIE RD,Oct 2019,FY2020
PIZZA PATRON,Routine,06/04/2019,99,75230,3400 LOMBARDY LN #104,Jun 2019,FY2019
CORNER BAKERY,Routine,11/15/2018,100,75201,301 N MARKET ST #100,Nov 2018,FY2019
LELIA P COWART SCHOOL,Routine,10/28/2019,99,75211,1515 S RAVINIA DR,Oct 2019,FY2020
GUZICK ELEMENTARY,Routine,05/20/2019,99,75227,5000 BERRIDGE LN,May 2019,FY2019
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,75253,253 W LAWSON RD,Nov 2019,FY2020
AMPHITHEATRE BLDG #L2,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
DE ZAVALA ELEMENTARY,Routine,11/14/2017,98,75212,3214 WINNETKA AVE,Nov 2017,FY2018
VIDORRA,Routine,05/20/2019,98,75226,2642 MAIN ST #100,May 2019,FY2019
SUNDRY SHOP,Routine,10/15/2019,97,75201,1910 PACIFIC AVE #2050,Oct 2019,FY2020
JERSEY MIKES SUBS,Routine,10/04/2018,89,75240,14060 DALLAS PKWY STE 400,Oct 2018,FY2019
SUR LA TABLE,Routine,10/30/2019,99,75230,6025 ROYAL LN #130,Oct 2019,FY2020
DOLLAR TREE #6240,Routine,04/22/2017,99,75243,9310 FOREST LN #106,Apr 2017,FY2017
EL RANCHO #25 - GROCERY,Routine,03/09/2017,96,75246,4121 GASTON AVE,Mar 2017,FY2017
PROVIDENCE CHRISTIAN SCHOOL,Routine,05/09/2019,100,75209,5002 W LOVERS LN,May 2019,FY2019
POLLO TROPICAL,Routine,03/01/2017,98,75244,12755 MIDWAY RD,Mar 2017,FY2017
ST PIUS X PAROCHIAL,Routine,10/14/2019,97,75228,3030 GUS THOMASSON RD,Oct 2019,FY2020
PACIFIC DECK-DALLAS,Routine,01/17/2019,97,75201,1910 PACIFIC #1400,Jan 2019,FY2019
CANTINA LAREDO,Routine,10/30/2019,0,75230,6025 ROYAL LN #250,Oct 2019,FY2020
ADVENTURE LANDING,Routine,10/15/2019,97,75252,17717 COIT RD,Oct 2019,FY2020
MALONE'S COST PLUS #7 (PRODUCE),Routine,10/30/2019,95,75217,333 S ST AUGUSTINE RD STE 129,Oct 2019,FY2020
WALGREENS #04013,Routine,05/15/2018,98,75252,18207 MIDWAY RD,May 2018,FY2018
LA HAWAIANA,Routine,02/14/2019,100,75217,1639 S BUCKNER BLVD #104,Feb 2019,FY2019
15742 TEXAS FOOD MART,Routine,05/23/2019,99,75037,2984 W WHEATLAND RD #E,May 2019,FY2019
SNAP KITCHEN,Routine,05/31/2019,100,75206,4115 SKILLMAN ST,May 2019,FY2019
HARMONY MIDDLE SCHOOL CAFETERIA,Routine,10/17/2019,100,75243,11995 FORESTGATE DR,Oct 2019,FY2020
ADELLE TURNER SCHOOL,Routine,05/24/2019,100,75232,5505 S POLK ST,May 2019,FY2019
CHICAS BONITAS,Routine,10/27/2019,93,75229,11044 HARRY HINES BLVD,Oct 2019,FY2020
BREAD ZEPPELIN,Routine,09/11/2017,97,75202,1300 MAIN ST,Sep 2017,FY2017
WILLIAMS FRIED CHICKEN,Routine,05/22/2019,100,75229,2955 WALNUT HILL LN,May 2019,FY2019
ELK'S LODGE BAR #71,Routine,10/30/2019,100,75238,8550 LULLWATER DR,Oct 2019,FY2020
SAN DIEGO TACO SHOP #2,Routine,07/19/2018,100,75217,1331 N JIM MILLER RD,Jul 2018,FY2018
ROTI MEDITERRANIAN GRILL,Routine,06/06/2019,96,75225,8301 WESTCHESTER DR,Jun 2019,FY2019
LA MICHOACANA GROCERY/PRODUCE,Routine,07/20/2018,95,75228,8707 E RL THORNTON FRWY,Jul 2018,FY2018
C F CARR SCHOOL,Routine,11/14/2019,91,75212,1952 BAYSIDE ST,Nov 2019,FY2020
OUMI SUSHI @ SPROUTS 149,Routine,11/28/2018,92,75231,7110 SKILLMAN ST #150,Nov 2018,FY2019
COSTCO WHOLESALE (FOOD COURT),Routine,06/06/2019,100,75251,8055 CHURCHILL WAY,Jun 2019,FY2019
SAN JACINTO ELEMENTARY,Routine,05/14/2019,100,75227,7900 HUME DR,May 2019,FY2019
WENDY'S #8604,Routine,05/15/2019,98,75287,17989 MARSH LN,May 2019,FY2019
NOVA ACADEMY,Routine,05/09/2019,100,75227,2800 PRICHARD LN,May 2019,FY2019
PAYLESS FUEL CENTER,Routine,04/03/2018,97,75252,18120 COIT RD,Apr 2018,FY2018
LAKEWOOD CC LADIES' CARDROOM,Routine,06/27/2018,100,75214,6430 GASTON AVE,Jun 2018,FY2018
TERRACE #5009 GRILL ZONE 310,Routine,02/14/2019,100,75201,2500 VICTORY AVE TERR #5009,Feb 2019,FY2019
PRIME NOW LLC,Routine,11/06/2019,100,75235,6627 MAPLE AVE,Nov 2019,FY2020
MCDONALDS,Routine,10/25/2019,100,75217,8055 S LOOP 12,Oct 2019,FY2020
MEDIEVAL TIME (KITCHEN),Routine,04/25/2019,95,75207,2021 N STEMMONS FRWY,Apr 2019,FY2019
DUNKIN DONUTS / BASKIN ROBBINS,Routine,08/01/2017,83,75240,13535 PRESTON RD,Aug 2017,FY2017
ACADEMY,Routine,10/25/2019,100,75236,3303 POTTER'S HOUSE WAY,Oct 2019,FY2020
LAKE HIGHLANDS ELEMENTARY,Routine,04/19/2017,97,75238,9501 FERNDALE RD,Apr 2017,FY2017
OUMI SUSHI @ SPROUTS 149,Routine,11/14/2019,100,75231,7110 SKILLMAN ST #150,Nov 2019,FY2020
CC YOUNG MEMORIAL HOME CAFE AREA,Routine,06/13/2018,99,75214,4831 W LAWTHER DR,Jun 2018,FY2018
ANN RICHARDS MIDDLE SCHOOL,Routine,05/21/2019,99,75227,3831 N PRAIRIE CREEK,May 2019,FY2019
MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,Routine,10/16/2019,100,75235,5555 MAPLE AVE,Oct 2019,FY2020
INTER FAITH FAMILY SERVICES-DAYCARE II,Routine,11/14/2019,99,75206,1651 MATILDA ST,Nov 2019,FY2020
G TEXAS CATERING,Routine,12/12/2017,95,75220,10319 FINNELL ST,Dec 2017,FY2018
HIGHLAND SPRINGS - REUNION GRILL,Routine,10/23/2019,100,75252,8060 FRANKFORD RD,Oct 2019,FY2020
MARY BETHUNE ELM SCHOOL,Routine,10/22/2019,100,75224,2205 DUNCANVILLE RD,Oct 2019,FY2020
WELLMED SENIOR ACTIVITY CENTER,Routine,03/06/2019,99,75237,3107 W CAMP WISDOM RD #175,Mar 2019,FY2019
AMPHITHEATRE BLDG #R3,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
W W HARLEE ELEMENTARY,Routine,12/17/2018,99,75203,1216 E EIGHTH ST,Dec 2018,FY2019
W W HARLEE ELEMENTARY,Routine,05/08/2019,100,75203,1216 E EIGHTH ST,May 2019,FY2019
COVANCE INC,Routine,04/25/2019,100,75247,1341 W MOCKINGBIRD LN #800E,Apr 2019,FY2019
MCDONALDS,Routine,11/11/2019,96,75211,2747 FORT WORTH AVE,Nov 2019,FY2020
CIELO CREATIONS,Follow-up,03/27/2019,88,75204,2711 N HASKELL AVE #C3,Mar 2019,FY2019
NICK & SAM'S STEAK & FISH,Routine,03/24/2017,96,75201,3008 MAPLE AVE,Mar 2017,FY2017
HOLIDAY INN EXPRESS & SUITES,Routine,04/03/2019,97,75247,1521 INWOOD RD,Apr 2019,FY2019
SAM'S CLUB BAKERY,Routine,01/31/2018,100,75238,12000 MCCREE RD,Jan 2018,FY2018
RUMOR 2ND FLR OUTSIDE BAR,Routine,09/22/2017,100,75204,2710 MCKINNEY AVE B,Sep 2017,FY2017
BOWLS & TACOS (BAR),Routine,10/22/2018,97,75226,3400 COMMERCE ST,Oct 2018,FY2019
EXPRESS SHOP,Routine,10/30/2019,100,75201,200 CRESCENT CT #50-B,Oct 2019,FY2020
THE SALVATION ARMY - GYM CONCESSION,Routine,10/14/2019,100,75217,8341 ELAM RD,Oct 2019,FY2020
WOLFGANG PUCK CATERING-PASTRY KITCHEN 3RD FLR,Routine,05/23/2018,99,75202,400 S HOUSTON ST 3F,May 2018,FY2018
KNIGHT ELEMENTARY,Routine,10/29/2019,99,75235,2615 ANSON AVE,Oct 2019,FY2020
C F CARR SCHOOL,Routine,05/01/2019,97,75212,1952 BAYSIDE ST,May 2019,FY2019
WM B TRAVIS SCHOOL,Routine,05/23/2019,100,75204,3001 MCKINNEY AVE,May 2019,FY2019
COURTYARD BY MARRIOTT,Routine,06/06/2019,96,75234,2930 FOREST LN,Jun 2019,FY2019
PINE CREEK MEDICAL CNTR,Routine,05/21/2019,100,75235,9032 HARRY HINES BLVD,May 2019,FY2019
ANATOLE (JADE WATERS BAR & GRILL),Routine,12/07/2016,100,75207,2201 N STEMMONS FRWY,Dec 2016,FY2017
BROOK HOLLOW GOLF CLUB - BROOK BAR,Routine,11/29/2017,100,75235,8301 HARRY HINES BLVD,Nov 2017,FY2018
BOOKER T WASHINGTON SCHOOL OF VISUAL AND PERFORMING ARTS,Routine,05/15/2019,97,75201,2501 FLORA ST,May 2019,FY2019
MOCKINGBIRD ELEMENTARY SCHOOL,Routine,05/28/2019,100,75206,5828 E MOCKINGBIRD LN,May 2019,FY2019
JACKSON WALKER,Routine,09/19/2017,99,75201,2323 ROSS AVE #600,Sep 2017,FY2017
MOSELEY ELEMENTARY SCHOOL,Routine,10/23/2018,100,75217,10400 RYLIE RD,Oct 2018,FY2019
WALGREENS #09015,Routine,05/15/2018,100,75227,4702 N JIM MILLER RD,May 2018,FY2018
OAK CLIFF BIBLE FELLOWSHIP,Routine,05/23/2019,98,75232,1821 W CAMP WISDOM RD,May 2019,FY2019
HIGHLAND SPRINGS PUB RB 2.2,Routine,10/23/2019,100,75252,8070 FRANKFORD,Oct 2019,FY2020
GROUP USA INC @ EL CENTRO VENDING MACHINE,Routine,10/24/2019,100,75211,1402 CORINTH ST #2600,Oct 2019,FY2020
COWBOY SALOON,Routine,12/12/2018,99,75220,10241 N WALTON WALKER BLVD,Dec 2018,FY2019
KFC,Routine,04/11/2019,96,75217,1801 S BUCKNER BLVD,Apr 2019,FY2019
FAMILY DOLLAR #5937,Routine,10/26/2016,100,75240,8152 SPRING VALLEY RD,Oct 2016,FY2017
BRAUM'S ICE CREAM #263,Routine,12/19/2017,96,75252,17879 PRESTON RD,Dec 2017,FY2018
GEXA ENERGY PAVILION BLDG #R4,Routine,07/12/2018,100,75210,1818 FIRST AVE,Jul 2018,FY2018
STERLING HOTEL LOBBY BAR,Routine,11/01/2019,100,75247,1055 REGAL ROW FL #3,Nov 2019,FY2020
MAJESTIC THEATER,Routine,05/21/2019,99,75201,1925 ELM ST,May 2019,FY2019
OSOS NEVERIA,Routine,12/29/2016,95,75229,2534 ROYAL LN D-13,Dec 2016,FY2017
BREADWINNERS CAFE & BAKERY,Routine,10/30/2019,94,75204,3301 MCKINNEY AVE,Oct 2019,FY2020
AFRICAN AMERICAN MUSEUM,Routine,05/31/2019,100,75210,3536 GRAND AVE,May 2019,FY2019
CHIPOTLE MEXICAN GRILL,Routine,10/10/2019,98,75204,2705 MCKINNEY AVE,Oct 2019,FY2020
WOLFGANG PUCK CATERING-DOCK AREA,Routine,05/23/2018,99,75202,400 S HOUSTON ST 3F,May 2018,FY2018
HILTON GARDEN INN (GIFT SHOP),Routine,10/31/2017,100,75207,2325 N STEMMONS FRWY,Oct 2017,FY2018
MIGALITOS SUPERMERCADO (PRODUCE),Routine,05/07/2018,98,75253,1050 S BELTLINE RD,May 2018,FY2018
TURNER AGASI CHARTER SCHOOL FACILITIES,Routine,05/21/2019,99,75237,3663 W CAMP WISDOM RD,May 2019,FY2019
MCDONALD'S IN WALMART,Routine,10/10/2019,100,75240,15220 MONTFORT DR,Oct 2019,FY2020
LEVEL TWO,Routine,10/24/2019,100,75207,1250 SLOCUM ST #758,Oct 2019,FY2020
HIGHLAND SPRINGS - CHISHOLM'S RESTRAURANT,Routine,10/23/2019,99,75252,8000 FRANKFORD RD,Oct 2019,FY2020
ACAPULCO,Routine,07/15/2017,100,75216,300 E LEDBETTER DR #100,Jul 2017,FY2017
ALBERTSON'S #4105 DELI,Routine,10/10/2017,100,75252,4625 FRANKFORD RD,Oct 2017,FY2018
HI FLAMEZ DELI,Routine,11/27/2018,100,75217,832 HOLCOMB RD,Nov 2018,FY2019
MAC'S BARBECUE,Routine,10/21/2019,98,75226,3933 MAIN ST,Oct 2019,FY2020
BROOKDALE WHITE ROCK,Routine,10/29/2018,95,75238,9271 WHITE ROCK TRL,Oct 2018,FY2019
HARMONY SCHOOL OF NATURE/1ST FLR/WEST WING,Routine,05/20/2019,99,75249,8120 W CAMP WISDOM RD FLR 1,May 2019,FY2019
TEXAS TORAH SCHOOL KITCHEN,Routine,05/15/2019,96,75252,6506 FRANKFORD RD,May 2019,FY2019
CHRIST THE KING SCHOOL,Routine,05/13/2019,95,75225,4100 COLGATE AVE,May 2019,FY2019
SMOOTHIE KING,Routine,11/11/2019,96,75230,6061 FOREST LN,Nov 2019,FY2020
OSOS NEVERIA,Routine,08/26/2017,98,75229,2534 ROYAL LN D-13,Aug 2017,FY2017
WHICH WICH,Routine,11/11/2019,94,75209,5610 LEMMON AVE STE B2,Nov 2019,FY2020
SKYLINE HIGH SCHOOL,Routine,05/28/2019,99,75227,7777 FORNEY RD,May 2019,FY2019
INSPIRED VISION ACADEMY II,Routine,05/13/2019,100,75217,8501 BRUTON RD,May 2019,FY2019
PEI WEI ASIAN DINER,Routine,11/11/2019,91,75201,2222 MCKINNEY AVE #100,Nov 2019,FY2020
BURGER KING,Routine,11/02/2017,99,75229,2441 WALNUT HILL LN,Nov 2017,FY2018
CHEESE BAR,Routine,10/28/2019,96,75204,4241 CAPITOL AVE,Oct 2019,FY2020
ARTHUR KRAMER ELEMENTARY,Routine,05/23/2019,97,75230,7131 MIDBURY DR,May 2019,FY2019
W W HARLEE ELEMENTARY,Routine,11/30/2016,100,75203,1216 E EIGHTH ST,Nov 2016,FY2017
SNAP KITCHEN,Routine,10/31/2019,98,75230,6025 ROYAL LN #320,Oct 2019,FY2020
AMPHITHEATRE BLDG #L1,Routine,02/07/2017,97,75210,1818 FIRST AVE,Feb 2017,FY2017
DEL NORTE BAKERY,Routine,09/16/2017,100,75223,5507 LINDSLEY AVE,Sep 2017,FY2017
ST AUGUSTINE CATHOLIC CHU,Routine,05/23/2019,100,75217,1064 N ST AUGUSTINE RD,May 2019,FY2019
WAL-MART #2996 ONLINE PICKUP,Routine,12/15/2017,97,75287,18121 MARSH LN,Dec 2017,FY2018
NINES BAR  - ROOF TOP BAR,Routine,08/18/2018,99,75226,2911 MAIN ST,Aug 2018,FY2018
LOOK CINEMAS - UPSTAIRS BAR,Routine,10/28/2019,100,75254,5499 BELTLINE RD #300,Oct 2019,FY2020
GEXA ENERGY PAVILION BLDG #R4,Routine,01/19/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
PLAZA #1066 PIZZA HUT#102,Routine,03/07/2019,99,75201,2500 VICTORY AVE PLZA #1066,Mar 2019,FY2019
TOM THUMB #2642 GROCERY,Routine,12/12/2016,99,75206,5809 E LOVERS LN,Dec 2016,FY2017
NORTH DALLAS HIGH SCHOOL,Routine,10/30/2019,100,75204,3120 N HASKELL AVE,Oct 2019,FY2020
SUPER TARGET #1775 FAST FOOD,Routine,12/20/2018,100,75248,16731 COIT RD,Dec 2018,FY2019
GREEK ORTHODOX CHURCH,Routine,06/06/2017,99,75240,13555 HILLCREST RD,Jun 2017,FY2017
DOUBLE TREE LOVE FIELD-LOBBY CAFE,Routine,10/31/2019,99,75235,3300 W MOCKINGBIRD LN,Oct 2019,FY2020
SPORTS BAR,Routine,04/25/2019,100,75247,1055 REGAL ROW,Apr 2019,FY2019
KROGER #528 BAKERY,Routine,04/27/2017,100,75219,4142 CEDAR SPRINGS RD,Apr 2017,FY2017
COCHRAN CHAPEL UNITED METHODIST CHURCH-KITCHEN,Routine,10/05/2016,96,75209,9027 MIDWAY RD,Oct 2016,FY2017
KNIGHT ELEMENTARY,Routine,10/23/2018,98,75235,2615 ANSON AVE,Oct 2018,FY2019
LA ACADEMIA DE ESTRELLAS CAFETERIA,Routine,05/29/2019,100,75236,4680 W KIEST BLVD,May 2019,FY2019
KENNEMER MIDDLE SCHOOL,Routine,05/20/2019,98,75249,7101 W WHEATLAND RD,May 2019,FY2019
RONALD E MCNAIR ELEM SCH,Routine,05/29/2019,98,75237,3150 BAINBRIDGE AVE,May 2019,FY2019
POTBELLY SANDWICH WORKS,Routine,12/21/2016,95,75205,4447 N CENTRAL EXPW,Dec 2016,FY2017
SAVE-A-LOT #725 MEAT-CUTTING AREA,Routine,12/17/2018,98,75215,3021 MLK BLVD,Dec 2018,FY2019
WOLFGANG PUCK - GROCERIES,Routine,10/10/2018,100,75201,1900 N AKARD ST 1719,Oct 2018,FY2019
AMIGO'S FAST FOOD,Routine,05/13/2019,96,75227,7048 MILITARY PKWY,May 2019,FY2019
NOVA ACADEMY,Routine,12/06/2017,99,75227,2800 PRICHARD LN,Dec 2017,FY2018
THE PHARMACY,Routine,05/28/2019,97,75226,2812 ELM ST,May 2019,FY2019
AMPHITHEATRE BLDG #L2,Routine,07/12/2018,100,75210,1818 FIRST AVE,Jul 2018,FY2018
W W HARLEE ELEMENTARY,Routine,06/14/2017,96,75203,1216 E EIGHTH ST,Jun 2017,FY2017
WOLFGANG PUCK CATERING-PASTRY KITCHEN 3RD FLR,Routine,11/08/2019,99,75202,400 S HOUSTON ST 3F,Nov 2019,FY2020
MADISON 1925 LLC- RESTAURANT 2,Routine,11/28/2018,98,75226,215 HENRY ST,Nov 2018,FY2019
ADELFA BOTELLO CALLEJO,Routine,05/13/2019,100,75228,7817 MILITARY PKWY,May 2019,FY2019
W W HARLEE ELEMENTARY,Routine,11/13/2019,98,75203,1216 E EIGHTH ST,Nov 2019,FY2020
WISHIRE BAPTIST CHURCH,Routine,10/14/2019,92,75214,4316 ABRAMS RD,Oct 2019,FY2020
WAL-MART #5889,Routine,06/11/2019,97,75220,9410 WEBB CHAPEL RD,Jun 2019,FY2019
DALLAS BIBLE CHURCH KITCHEN,Routine,10/07/2019,100,75248,15765 HILLCREST RD,Oct 2019,FY2020
QUIKTRIP 3904,Routine,10/31/2019,100,75231,6060 SKILLMAN ST,Oct 2019,FY2020
ZAN WESLEY HOLMES JR. MIDDLE,Routine,05/24/2019,100,75233,2939 ST RITA DR,May 2019,FY2019
KFC,Complaint,10/16/2019,100,75243,9465 FOREST LN,Oct 2019,FY2020
BILLARES LA JUGADA LLC,Routine,12/10/2016,95,75226,4428 MAIN ST #100,Dec 2016,FY2017
ARAMARK AT METHODIST - SPECIALS KITCHEN,Routine,09/16/2019,98,75208,1441 N BECKLEY AVE,Sep 2019,FY2019
HARMONY SCIENCE ACADEMY,Routine,10/17/2019,100,75243,12005 FORESTGATE,Oct 2019,FY2020
AMPHITHEATRE BLDG #R2,Routine,02/07/2017,97,75210,1818 FIRST AVE,Feb 2017,FY2017
WINGSTOP,Routine,04/15/2019,98,75252,18101 PRESTON RD #204D,Apr 2019,FY2019
PLAZA #1026 PIZZA HUT 111,Routine,10/28/2016,100,75201,2500 VICTORY AVE PLZA #1026,Oct 2016,FY2017
LONGHORN ICE HOUSE,Routine,11/06/2019,95,75220,1901 W NORTHWEST HWY,Nov 2019,FY2020
POPEYE'S,Routine,05/23/2019,97,75209,6502 LEMMON AVE,May 2019,FY2019
ZOE'S KITCHEN,Routine,05/11/2017,98,75219,3878 OAK LAWN #314,May 2017,FY2017
ZION LUTHERAN SCHOOL,Routine,05/23/2019,100,75214,6121 E LOVERS LN,May 2019,FY2019
PEAK PREPARATORY - SECONDARY SCHOOL,Routine,11/11/2019,94,75204,4600 BRYAN ST BLDG 1,Nov 2019,FY2020
MURPHY'S DELI,Routine,05/21/2019,99,75206,8350 N CENTRAL EXPW #M -1075,May 2019,FY2019
CASA VIEW ELEMENTARY,Routine,05/22/2019,99,75228,2100 FAROLA DR,May 2019,FY2019
ORAN M ROBERTS ELEMENTARY,Routine,05/16/2019,99,75223,4919 EAST GRAND AVE,May 2019,FY2019
MARKET HALL CONCESS AREA,Routine,10/14/2019,100,75207,2200 N STEMMONS FRWY,Oct 2019,FY2020
HARMONY SCHOOL OF NATURE/1ST FLR/WEST WING,Routine,11/28/2018,98,75249,8120 W CAMP WISDOM RD FLR 1,Nov 2018,FY2019
AMC THEATRES VALLEY VIEW 16,Routine,10/25/2019,89,75240,13331 PRESTON RD #2300,Oct 2019,FY2020
ATRIO BAR,Routine,07/13/2017,99,75207,2727 N STEMMONS FRWY,Jul 2017,FY2017
CENTERPLATE WEST KITCHEN,Routine,04/30/2019,100,75202,650 S GRIFFIN ST,Apr 2019,FY2019
PLAZA #1029 HOT POPPED AND TWISTED 113,Routine,05/23/2017,99,75201,2500 VICTORY AVE PLZA #1029,May 2017,FY2017
LA MICHOACANA/CARNICERIA,Routine,10/29/2018,95,75240,8702 SPRING VALLEY RD #C,Oct 2018,FY2019
AMPHITHEATRE BLDG #R2,Routine,07/12/2018,100,75210,1818 FIRST AVE,Jul 2018,FY2018
MANSION MAIN BAR,Routine,10/10/2017,99,75219,2821 TURTLE CREEK BLVD,Oct 2017,FY2018
JIM BILHARTZ JR ELEM SCH,Routine,11/13/2019,100,75249,6700 WANDT DR,Nov 2019,FY2020
OJOS LOCOS SPORTS CANTINA,Routine,11/13/2019,97,75220,10230 TECHNOLOGY BLVD E,Nov 2019,FY2020
CHURCH'S CHICKEN #201,Routine,04/19/2019,98,75228,10295 FERGUSON RD,Apr 2019,FY2019
DISCOUNT FOOD BEER & WINE,Routine,10/23/2019,99,75216,3627 BONNIE VIEW RD #B,Oct 2019,FY2020
BURGER KING,Routine,10/30/2019,100,75247,8383 N STEMMONS FRWY,Oct 2019,FY2020
FRANKLIN STADIUM,Routine,05/13/2019,98,75230,10000 HILLCREST RD,May 2019,FY2019
I HEART YOGURT,Routine,12/01/2016,95,75230,10720 PRESTON RD #1006,Dec 2016,FY2017
LEVEL TWO,Routine,04/30/2019,99,75207,1250 SLOCUM ST #758,Apr 2019,FY2019
SONNY BRYAN'S SMOKEHOUSE,Routine,05/28/2019,92,75202,302 N MARKET ST #101,May 2019,FY2019
FAMILY DOLLAR #5507,Routine,11/21/2017,96,75227,9548 SCYENE RD,Nov 2017,FY2018
SONIC #5537,Routine,06/22/2017,98,75253,1920 S BELTLINE RD #100,Jun 2017,FY2017
TEXAS DISCOVERY GARDENS,Routine,10/30/2018,95,75210,3601 MLK JR BLVD,Oct 2018,FY2019
PACIFIC DECK-DALLAS,Routine,07/16/2018,98,75201,1910 PACIFIC #1400,Jul 2018,FY2018
ADOLPUH HOTEL (SOCIAL LOBBY BAR),Routine,02/08/2017,100,75202,1321 COMMERCE ST,Feb 2017,FY2017
TRIUMPH PREPARATORY PRIMARY,Routine,10/29/2019,100,75229,9411 HARGROVE DR,Oct 2019,FY2020
POLLO CAMPERO,Routine,10/28/2019,99,75220,9419 WEBB CHAPEL RD,Oct 2019,FY2020
STATE FAIR OF TEXAS,Routine,05/30/2019,100,75210,1610 FUN WAY,May 2019,FY2019
STERLING HOTEL THE GREENWAY,Routine,04/25/2019,100,75247,1055 REGAL ROW FL #3,Apr 2019,FY2019
COLUMBIA HOSPITAL CAFETERIA - BLDG E,Routine,10/11/2019,100,75230,7777 FOREST LN BLDG #E,Oct 2019,FY2020
TOM THUMB - SUSHI,Routine,10/15/2019,97,75021,2380 N FIELD ST,Oct 2019,FY2020
JUSTIN F KIMBALL H S,Routine,05/28/2019,100,75233,3606 S WESTMORELAND RD,May 2019,FY2019
PERSONALIZED LEARNING PREPARATORY AT SAM HOUSTON,Routine,05/23/2019,96,75219,2827 THROCKMORTON ST,May 2019,FY2019
FIESTA MART #32 TAQUERIA,Routine,01/02/2019,97,75220,9727 WEBB CHAPEL RD,Jan 2019,FY2019
COURTYARD (12th FLOOR),Routine,11/08/2019,100,75202,310 S HOUSTON ST,Nov 2019,FY2020
ADVANTAGE ACADEMY (SERVERY ONLY),Routine,11/05/2019,97,75236,4009 JOSEPH HARDIN DR,Nov 2019,FY2020
ROSE MARIE HAGGAR ELEM SC,Routine,08/21/2018,100,75252,17820 CAMPBELL RD,Aug 2018,FY2018
LA MADELEINE,Complaint,10/25/2016,100,75220,4343 W NORTHWEST HWY #365,Oct 2016,FY2017
C A TATUM ELEMENTARY SCHOOL,Routine,05/22/2019,100,75217,3002 N ST AUGUSTINE RD,May 2019,FY2019
STERLING HOTEL THE GREENWAY,Routine,10/22/2019,96,75247,1055 REGAL ROW FL #3,Oct 2019,FY2020
DOLCERIA GLORIA,Routine,04/14/2018,100,75229,11200 HARRY HINES BLVD #C12,Apr 2018,FY2018
CVS,Routine,11/05/2019,97,75220,9215 MIDWAY RD,Nov 2019,FY2020
KATY TRAIL ICE HOUSE - SHACK KITCHEN AND BAR,Routine,10/24/2019,98,75201,3127 ROUTH ST,Oct 2019,FY2020
"SAVORY CATERING, LP",Routine,05/25/2018,98,75235,5855 MAPLE AVE #190,May 2018,FY2018
REILLY ELEMENTARY SCHOOL,Routine,05/22/2019,100,75218,11230 LIPPITT AVE,May 2019,FY2019
SONIC DRIVE IN,Routine,06/05/2019,99,75244,12130 INWOOD RD,Jun 2019,FY2019
SIXTH FLOOR MUSEUM,Routine,10/23/2019,97,75202,501 ELM ST #100,Oct 2019,FY2020
BENNY'S FOOD & MART,Routine,10/15/2019,99,75231,5942 ABRAMS RD,Oct 2019,FY2020
CRISWELL COLLEGE MAIN KITCHEN,Routine,08/07/2018,95,75246,4024 GASTON AVE,Aug 2018,FY2018
CEDAR SOCIAL CONTAINER BAR,Routine,05/23/2019,97,75215,1326 S LAMAR ST,May 2019,FY2019
HARBORCHASE OF THE PARK CITIES-2ND FLOOR SERVER,Routine,06/11/2019,100,75225,5917 SHERRY LN,Jun 2019,FY2019
EL PATRON SPORTS BAR,Routine,05/10/2019,95,75220,10571 DENTON DR,May 2019,FY2019
SPRAGUE WEST STADIUM,Routine,10/31/2019,99,75233,3700 BOULDER DR,Oct 2019,FY2020
SEASON'S 52,Routine,10/28/2019,90,75225,8687 N CENTRAL EXPW #B307,Oct 2019,FY2020
THE TRADITION-4TH FL SOUTH WING LVL4,Routine,03/26/2019,98,75206,5855 MILTON ST,Mar 2019,FY2019
7-11,Routine,12/26/2018,98,75217,10100 BRUTON RD,Dec 2018,FY2019
AMPHITHEATRE BLDG #R1,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
TOM THUMB #2534 GROCERY,Routine,12/27/2018,100,75214,6333 E MOCKINGBIRD LN,Dec 2018,FY2019
PIZZA HUT,Routine,06/12/2019,83,75238,222 CONTINENTAL AVE,Jun 2019,FY2019
